,FederationsCount
0,49.0
1,39.0
2,39.0
3,39.0
4,39.0
5,39.0
6,39.0
7,39.0
8,39.0
9,39.0
10,39.0
11,39.0
12,37.0
13,29.0
14,28.0
15,22.0
16,12.0
17,14.0
18,14.0
19,13.0
20,14.0
21,14.0
22,14.0
23,13.0
24,13.0
25,12.0
26,12.0
27,13.0
28,13.0
29,13.0
30,13.0
31,13.0
32,13.0
33,13.0
34,13.0
35,13.0
36,13.0
37,13.0
38,13.0
39,13.0
40,13.0
41,13.0
42,13.0
43,13.0
44,13.0
45,13.0
46,13.0
47,13.0
48,13.0
49,13.0
50,13.0
51,13.0
52,13.0
53,13.0
54,13.0
55,13.0
56,14.0
57,14.0
58,14.0
59,14.0
60,14.0
61,14.0
62,14.0
63,14.0
64,14.0
65,14.0
66,13.0
67,14.0
68,14.0
69,15.0
70,15.0
71,15.0
72,15.0
73,15.0
74,15.0
75,14.0
76,14.0
77,14.0
78,14.0
79,14.0
